group,large
day,1,2014-10-16
value,100000.0
MSFT,0,42.53
GOOG,0,519.00
T,0,33.63
ORCL,0,37.99
EBAY,0,48.49
AAPL,0,95.55
CHL,0,58.17
VZ,0,47.41
COP,0,64.96
AMZN,0,293.83
SAP,0,65.73
QCOM,0,69.84
UTX,0,98.16
CSCO,0,22.65
DCM,0,15.50
IBM,0,179.80
BA,0,118.91
INTC,0,30.89
V,0,197.09
CMCSA,0,50.10
FB,0,70.79
GE,0,23.99
MA,0,70.08
TSM,0,20.23
day,2,2014-10-17
value,102193.55778
MSFT,123.751655178,43.20
GOOG,10.1409593348,527.25
T,156.501870197,33.76
ORCL,0,37.69
EBAY,108.541099087,48.24
AAPL,55.0827618497,97.50
CHL,90.4789048433,59.50
VZ,111.013665782,47.80
COP,81.0215193155,67.93
AMZN,17.9122550275,307.15
SAP,0,68.39
QCOM,75.3602218605,72.05
UTX,0,100.30
CSCO,232.369001975,22.98
DCM,339.558573854,15.38
IBM,0,181.24
BA,44.2616928327,122.05
INTC,170.38387487,31.20
V,26.7043375856,204.84
CMCSA,0,49.98
FB,74.3488895993,74.23
GE,219.389657972,25.00
MA,75.1021389089,71.70
TSM,260.165985899,20.55
day,3,2014-10-20
value,102603.909244
MSFT,0,43.06
GOOG,0,509.45
T,186.349686211,34.08
ORCL,0,36.31
EBAY,129.42962041,48.04
AAPL,65.4177594766,98.32
CHL,107.414405156,59.67
VZ,132.094466381,48.06
COP,95.8553522115,68.18
AMZN,21.1929396071,302.95
SAP,0,65.74
QCOM,0,72.05
UTX,0,101.42
CSCO,276.218534988,22.90
DCM,405.076276625,15.80
IBM,0,166.85
BA,52.5178359595,123.39
INTC,202.680742454,31.04
V,31.6236027126,205.53
CMCSA,0,50.68
FB,87.9237551338,75.60
GE,259.696148717,24.91
MA,89.1560059748,71.21
TSM,309.200646173,20.79
day,4,2014-10-21
value,104319.609026
MSFT,0,44.36
GOOG,0,525.19
T,186.349686211,34.27
ORCL,0,38.29
EBAY,129.42962041,49.65
AAPL,65.4177594766,103.02
CHL,107.414405156,59.09
VZ,132.094466381,48.09
COP,95.8553522115,70.07
AMZN,21.1929396071,309.90
SAP,0,65.24
QCOM,0,73.93
UTX,0,104.12
CSCO,276.218534988,23.10
DCM,405.076276625,15.86
IBM,0,166.40
BA,52.5178359595,125.21
INTC,202.680742454,31.67
V,31.6236027126,209.78
CMCSA,0,51.68
FB,87.9237551338,77.56
GE,259.696148717,25.27
MA,89.1560059748,72.87
TSM,309.200646173,20.93
day,5,2014-10-22
value,105985.522446
MSFT,0,45.00
GOOG,0,529.89
T,198.327531236,34.78
ORCL,0,38.37
EBAY,137.697107802,51.20
AAPL,69.4022357823,102.84
CHL,114.36110932,58.70
VZ,140.630144256,48.69
COP,101.713504759,71.00
AMZN,0,315.43
SAP,0,64.96
QCOM,5.55228931443,75.01
UTX,0,103.11
CSCO,293.988264382,23.67
DCM,430.957786652,16.08
IBM,0,162.41
BA,55.7961743431,127.99
INTC,215.641928088,32.66
V,33.5803228433,213.29
CMCSA,0,52.19
FB,93.2161835636,78.82
GE,275.93994567,25.34
MA,94.7890614025,74.11
TSM,328.812722093,21.60
day,6,2014-10-23
value,105563.480446
MSFT,0,44.62
GOOG,0.792767461635,539.32
T,210.40572417,34.04
ORCL,0,38.08
EBAY,145.901786518,50.61
AAPL,73.4870233188,104.08
CHL,121.517490074,57.17
VZ,149.257779299,48.58
COP,107.630118143,70.79
AMZN,1.33176790491,313.40
SAP,0,65.31
QCOM,11.1526032758,75.00
UTX,0,102.87
CSCO,311.735604908,23.61
DCM,457.082136791,15.97
IBM,0,162.12
BA,0,121.27
INTC,228.504131096,32.72
V,35.5498457944,213.87
CMCSA,0,52.18
FB,98.5457896312,79.38
GE,292.517670621,25.42
MA,100.457386193,74.10
TSM,348.260849419,21.33
day,7,2014-10-24
value,105422.496372
MSFT,0,46.83
GOOG,0.792767461635,544.36
T,210.40572417,33.62
ORCL,0,38.32
EBAY,145.901786518,50.79
AAPL,73.4870233188,105.18
CHL,121.517490074,57.73
VZ,149.257779299,48.22
COP,107.630118143,69.99
AMZN,1.33176790491,284.40
SAP,0,65.81
QCOM,11.1526032758,75.42
UTX,0,103.16
CSCO,311.735604908,23.60
DCM,457.082136791,15.98
IBM,0,162.08
BA,-3.64571188281e-16,122.20
INTC,228.504131096,32.72
V,35.5498457944,213.63
CMCSA,0,53.69
FB,98.5457896312,80.20
GE,292.517670621,25.44
MA,100.457386193,73.84
TSM,348.260849419,21.01
day,8,2014-10-27
value,105850.8287
MSFT,0,45.71
GOOG,0,537.03
T,224.249335855,33.88
ORCL,0,38.50
EBAY,155.065445207,51.10
AAPL,77.9120302101,104.85
CHL,0,57.39
VZ,158.909837052,48.78
COP,114.279957046,69.02
AMZN,2.96827361811,285.70
SAP,0,64.73
QCOM,17.323674939,75.86
UTX,0,103.79
CSCO,331.456885621,23.62
DCM,486.207432463,16.04
IBM,0,162.00
BA,3.80869251092,122.13
INTC,242.72852672,33.08
V,37.7284828062,213.06
CMCSA,0,54.21
FB,104.349059268,80.74
GE,310.812569396,25.66
MA,106.760504081,74.00
TSM,370.413263738,21.32
day,9,2014-10-28
value,106386.600349
MSFT,1.15953261416,45.86
GOOG,0,543.00
T,225.813746593,34.31
ORCL,0,38.34
EBAY,156.102670957,51.35
AAPL,78.4175355587,105.40
CHL,0,58.90
VZ,159.996393751,49.70
COP,115.047882804,69.08
AMZN,0,289.76
SAP,0,66.58
QCOM,18.0223598295,76.19
UTX,0,104.96
CSCO,333.700841413,23.82
DCM,489.511811253,16.06
IBM,0,162.00
BA,4.24267462665,122.50
INTC,244.33077085,33.23
V,37.9772495189,214.61
CMCSA,0,54.15
FB,105.005514999,80.18
GE,312.878128078,25.58
MA,107.476750511,74.54
TSM,372.899297312,21.45
day,10,2014-10-29
value,107091.203754
MSFT,1.15953261416,46.44
GOOG,0,550.00
T,225.813746593,34.40
ORCL,0,38.73
EBAY,156.102670957,50.79
AAPL,78.4175355587,106.65
CHL,0,60.32
VZ,159.996393751,50.05
COP,115.047882804,71.91
AMZN,0,299.11
SAP,0,66.68
QCOM,18.0223598295,76.50
UTX,0,106.72
CSCO,333.700841413,24.01
DCM,489.511811253,16.47
IBM,0,164.33
BA,4.24267462665,124.48
INTC,244.33077085,33.76
V,37.9772495189,216.31
CMCSA,1.08061466522e-16,54.59
FB,105.005514999,75.45
GE,312.878128078,25.88
MA,107.476750511,76.19
TSM,372.899297312,21.57
day,11,2014-10-30
value,107063.797867
MSFT,11.7528727461,46.32
GOOG,0,548.95
T,240.114755771,34.27
ORCL,0,38.40
EBAY,165.788725608,51.05
AAPL,0,106.96
CHL,0,60.47
VZ,169.825658801,49.63
COP,121.889138759,69.37
AMZN,1.64472841338,293.98
SAP,0,65.53
QCOM,24.4531404272,76.65
UTX,0,105.21
CSCO,354.190417245,24.00
DCM,519.381557199,16.29
IBM,0,163.50
BA,8.19475299848,122.52
INTC,258.902889206,33.58
V,40.2515535997,228.53
CMCSA,9.01181014335,54.42
FB,111.525789562,75.05
GE,331.887197465,25.42
MA,113.933696511,78.35
TSM,395.706655482,21.49
day,12,2014-10-31
value,109676.582438
MSFT,11.7528727461,46.94
GOOG,0,559.35
T,240.114755771,34.76
ORCL,0,38.88
EBAY,165.788725608,52.68
AAPL,8.3912459445e-16,108.01
CHL,1.4842527968e-15,62.01
VZ,169.825658801,50.42
COP,121.889138759,71.59
AMZN,1.64472841338,305.15
SAP,0,67.24
QCOM,24.4531404272,78.53
UTX,0,107.83
CSCO,354.190417245,24.59
DCM,519.381557199,16.96
IBM,0,165.48
BA,8.19475299848,125.03
INTC,258.902889206,33.74
V,40.2515535997,237.29
CMCSA,9.01181014335,55.69
FB,111.525789562,74.93
GE,331.887197465,25.86
MA,113.933696511,83.21
TSM,395.706655482,21.69
day,13,2014-11-03
value,109805.963797
MSFT,22.3828179019,46.89
GOOG,0.892052606799,555.50
T,254.469463067,34.97
ORCL,0,39.02
EBAY,175.260434522,52.32
AAPL,4.61966137962,108.22
CHL,8.0465993487,61.84
VZ,179.721922696,50.49
COP,128.858961718,72.26
AMZN,3.27989022105,306.24
SAP,0,67.22
QCOM,30.8070131588,78.31
UTX,0,107.42
CSCO,374.481983963,24.45
DCM,548.801936068,16.73
IBM,0,164.25
BA,12.1855522116,125.35
INTC,273.691556237,33.81
V,42.3543376429,240.98
CMCSA,17.9715807595,55.26
FB,118.184933104,75.47
GE,351.182233258,25.49
MA,0,83.82
TSM,418.711248641,21.98
day,14,2014-11-04
value,109052.585132
MSFT,38.5260596227,47.30
GOOG,0,553.00
T,276.115348234,34.97
ORCL,0,38.93
EBAY,189.728259528,52.56
AAPL,11.6142705488,109.36
CHL,20.2871653948,61.80
VZ,194.714131139,50.41
COP,139.334419845,69.20
AMZN,5.75166596652,303.99
SAP,0,66.80
QCOM,0,77.49
UTX,0,107.00
CSCO,405.441354282,24.60
DCM,594.047399564,15.96
IBM,0,164.34
BA,18.2242965617,125.94
INTC,296.080098216,34.25
V,45.495497093,239.65
CMCSA,31.6696734901,55.62
FB,128.214833784,74.23
GE,380.878451551,25.73
MA,0,83.86
TSM,0,21.99
day,15,2014-11-05
value,110151.003356
MSFT,41.5587867752,47.80
GOOG,0,556.80
T,280.217378383,34.94
ORCL,0,39.34
EBAY,192.457483164,53.47
AAPL,12.9259749591,109.10
CHL,22.6083303513,61.84
VZ,197.559756894,50.69
COP,141.40736774,69.95
AMZN,6.22354989136,303.01
SAP,0,67.22
QCOM,0,77.46
UTX,1.34063546085,107.55
CSCO,411.272573563,24.97
DCM,603.035369132,16.16
IBM,0,163.13
BA,0,126.01
INTC,300.268360823,34.05
V,46.0940699881,244.16
CMCSA,34.2487456639,54.87
FB,130.147313836,76.51
GE,386.453577642,25.90
MA,0,84.50
TSM,0,22.06
day,16,2014-11-06
value,110017.715827
MSFT,54.9271676408,47.86
GOOG,0,545.50
T,298.506119235,34.90
ORCL,0,39.22
EBAY,204.408270622,53.62
AAPL,18.7830657509,108.60
CHL,32.94158723,62.52
VZ,210.165963353,50.37
COP,150.542587259,69.72
AMZN,8.33241958337,296.69
SAP,0,67.32
QCOM,0,71.03
UTX,7.2821380678,107.90
CSCO,436.863627042,25.10
DCM,642.577980851,15.95
IBM,0,161.28
BA,0,124.48
INTC,0,33.69
V,48.711241537,249.51
CMCSA,45.8946105332,55.27
FB,138.499275742,74.89
GE,411.125724567,25.89
MA,7.56223201629,86.00
TSM,0,22.04
day,17,2014-11-07
value,110467.267311
MSFT,54.9271676408,48.92
GOOG,0,546.21
T,298.506119235,34.71
ORCL,0,39.69
EBAY,204.408270622,53.35
AAPL,18.7830657509,108.75
CHL,32.94158723,62.12
VZ,210.165963353,50.33
COP,150.542587259,71.44
AMZN,8.33241958337,297.82
SAP,0,66.61
QCOM,0,70.70
UTX,7.2821380678,108.49
CSCO,436.863627042,25.30
DCM,642.577980851,15.78
IBM,0,161.42
BA,0,124.93
INTC,0,33.98
V,48.711241537,250.12
CMCSA,45.8946105332,55.45
FB,138.499275742,75.39
GE,411.125724567,26.29
MA,7.56223201629,85.94
TSM,0,21.82
day,18,2014-11-10
value,110869.347074
MSFT,54.9271676408,48.65
GOOG,0,541.46
T,298.506119235,35.06
ORCL,0,39.97
EBAY,204.408270622,53.47
AAPL,18.7830657509,109.02
CHL,32.94158723,62.11
VZ,210.165963353,50.72
COP,150.542587259,72.82
AMZN,8.33241958337,300.00
SAP,0,66.99
QCOM,0.0,68.91
UTX,7.2821380678,109.05
CSCO,436.863627042,25.04
DCM,642.577980851,15.73
IBM,0,161.90
BA,0,124.87
INTC,0,33.43
V,48.711241537,251.98
CMCSA,45.8946105332,55.24
FB,138.499275742,75.36
GE,411.125724567,26.41
MA,7.56223201629,84.72
TSM,0,22.10
day,19,2014-11-11
value,110830.925419
MSFT,54.9271676408,48.85
GOOG,0,548.49
T,298.506119235,35.15
ORCL,0,40.53
EBAY,204.408270622,54.17
AAPL,18.7830657509,108.70
CHL,32.94158723,61.39
VZ,210.165963353,50.94
COP,150.542587259,71.52
AMZN,8.33241958337,305.94
SAP,0,67.13
QCOM,0.0,69.71
UTX,7.2821380678,109.00
CSCO,436.863627042,25.20
DCM,642.577980851,15.91
IBM,0,163.70
BA,0,124.58
INTC,0,33.36
V,48.711241537,249.18
CMCSA,45.8946105332,52.88
FB,138.499275742,74.95
GE,411.125724567,26.47
MA,7.56223201629,84.98
TSM,0,22.36
day,20,2014-11-12
value,110221.991471
MSFT,55.9427165781,48.56
GOOG,0,550.39
T,299.917486677,35.05
ORCL,0,40.56
EBAY,205.324083167,53.81
AAPL,19.2394554987,109.38
CHL,33.7496922241,61.41
VZ,211.139845677,50.35
COP,151.23623331,71.36
AMZN,8.49457414174,310.75
SAP,0,66.36
QCOM,0.71165637049,69.62
UTX,0,107.67
CSCO,438.832260597,24.91
DCM,645.696118223,15.80
IBM,0,162.28
BA,0,124.51
INTC,0,33.23
V,48.9103328188,248.85
CMCSA,46.8327641941,53.00
FB,139.161177884,74.28
GE,412.99990536,26.27
MA,8.14601132421,83.76
TSM,0,21.78
day,21,2014-11-13
value,110984.230095
MSFT,76.0771273656,48.81
GOOG,0,549.80
T,327.812693178,35.37
ORCL,0,40.17
EBAY,0,54.06
AAPL,28.1782650419,111.80
CHL,49.6709914887,60.93
VZ,230.558455167,50.66
COP,164.937564418,70.78
AMZN,0,312.00
SAP,0,66.18
QCOM,14.755422355,70.21
UTX,0,108.32
CSCO,478.082641482,24.93
DCM,707.57757315,16.07
IBM,0,162.00
BA,0,125.74
INTC,0,33.35
V,52.839314084,252.40
CMCSA,65.28044321,53.70
FB,152.323899853,74.74
GE,450.218290889,26.47
MA,19.8189696318,84.54
TSM,0,22.26
day,22,2014-11-14
value,111593.372752
MSFT,77.5931782386,49.74
GOOG,0,546.68
T,329.904817665,35.64
ORCL,1.84213201669,40.86
