group,medium
day,1,2014-10-16
value,100000.0
TXN,0,42.04
ITW,0,80.10
YHOO,0,36.95
MU,0,27.33
NXPI,0,57.19
TWTR,0,48.34
ADBE,0,60.72
HPQ,0,31.75
NOK,0,7.60
BIDU,0,203.59
LNKD,0,188.69
INFY,0,62.34
CRM,0,51.97
SNE,0,16.57
AMAT,0,19.09
AVGO,0,70.67
EMC,0,26.81
ADP,0,70.79
ETN,0,57.83
PCLN,0,1044.67
VMW,0,88.15
WIT,0,11.95
INTU,0,78.15
CERN,0,56.17
CTSH,0,43.76
day,2,2014-10-17
value,104316.528655
TXN,132.149275822,43.95
ITW,69.3577472604,83.88
YHOO,150.353330326,38.74
MU,203.276822377,28.91
NXPI,97.1420800062,63.01
TWTR,0,49.72
ADBE,91.494656712,63.46
HPQ,174.978127734,34.26
NOK,0,7.91
BIDU,0,214.22
LNKD,29.4427662068,201.66
INFY,89.1170284818,63.02
CRM,0,54.74
SNE,335.277945417,17.15
AMAT,291.01914906,20.00
AVGO,78.6126440577,77.42
EMC,207.219528368,27.08
ADP,78.479383466,72.51
ETN,0,60.92
PCLN,0,1090.17
VMW,63.0238860528,89.79
WIT,464.90004649,12.06
INTU,71.088362835,79.66
CERN,98.90609855,56.89
CTSH,0,44.90
day,3,2014-10-20
value,103235.574915
TXN,132.149275822,43.49
ITW,69.3577472604,83.26
YHOO,150.353330326,38.47
MU,203.276822377,29.11
NXPI,97.1420800062,60.15
TWTR,0,49.07
ADBE,91.494656712,64.25
HPQ,174.978127734,33.02
NOK,0,7.83
BIDU,0,212.35
LNKD,29.4427662068,195.70
INFY,89.1170284818,61.56
CRM,-2.97317653407e-14,54.75
SNE,335.277945417,17.37
AMAT,291.01914906,19.73
AVGO,78.6126440577,76.67
EMC,207.219528368,26.83
ADP,78.479383466,72.54
ETN,0,60.97
PCLN,0,1076.52
VMW,63.0238860528,88.32
WIT,464.90004649,11.79
INTU,71.088362835,80.72
CERN,98.90609855,56.96
CTSH,0,43.90
day,4,2014-10-21
value,105718.503751
TXN,132.149275822,45.54
ITW,69.3577472604,85.80
YHOO,150.353330326,39.65
MU,203.276822377,30.40
NXPI,97.1420800062,63.34
TWTR,0,51.76
ADBE,91.494656712,64.84
HPQ,174.978127734,34.27
NOK,0,7.98
BIDU,0,218.08
LNKD,29.4427662068,201.00
INFY,89.1170284818,62.13
CRM,-2.97317653407e-14,56.40
SNE,335.277945417,17.37
AMAT,291.01914906,20.15
AVGO,78.6126440577,78.99
EMC,207.219528368,27.15
ADP,78.479383466,73.63
ETN,0,61.70
PCLN,0,1107.16
VMW,63.0238860528,88.69
WIT,464.90004649,12.00
INTU,71.088362835,81.79
CERN,98.90609855,58.51
CTSH,9.66040142703e-30,43.80
day,5,2014-10-22
value,107616.28198
TXN,132.149275822,47.41
ITW,69.3577472604,86.70
YHOO,150.353330326,42.42
MU,203.276822377,31.52
NXPI,97.1420800062,65.39
TWTR,0,51.13
ADBE,91.494656712,66.31
HPQ,174.978127734,34.73
NOK,0,8.21
BIDU,0,224.14
LNKD,29.4427662068,206.40
INFY,89.1170284818,62.03
CRM,0,56.77
SNE,335.277945417,17.78
AMAT,291.01914906,20.87
AVGO,78.6126440577,82.48
EMC,207.219528368,26.69
ADP,78.479383466,75.01
ETN,0,62.91
PCLN,0,1134.84
VMW,63.0238860528,80.04
WIT,464.90004649,12.25
INTU,71.088362835,83.34
CERN,98.90609855,59.16
CTSH,-2.01498625957e-15,44.64
day,6,2014-10-23
value,107417.67152
TXN,132.149275822,47.18
ITW,69.3577472604,87.10
YHOO,150.353330326,42.40
MU,203.276822377,31.04
NXPI,97.1420800062,65.99
TWTR,0,50.13
ADBE,91.494656712,65.62
HPQ,174.978127734,34.73
NOK,0,8.35
BIDU,0,220.20
LNKD,29.4427662068,202.98
INFY,89.1170284818,62.18
CRM,0,56.83
SNE,335.277945417,17.79
AMAT,291.01914906,20.60
AVGO,78.6126440577,82.14
EMC,207.219528368,27.64
ADP,78.479383466,75.75
ETN,0,62.08
PCLN,0,1125.12
VMW,63.0238860528,82.06
WIT,464.90004649,11.76
INTU,71.088362835,82.96
CERN,98.90609855,58.87
CTSH,-2.01498625957e-15,44.60
day,7,2014-10-24
value,107492.327979
TXN,132.149275822,47.13
ITW,69.3577472604,87.36
YHOO,150.353330326,42.53
MU,203.276822377,30.98
NXPI,97.1420800062,64.51
TWTR,0,50.16
ADBE,91.494656712,66.26
HPQ,174.978127734,35.00
NOK,0,8.44
BIDU,-1.90912597319e-47,218.05
LNKD,29.4427662068,201.50
INFY,89.1170284818,61.70
CRM,0,57.95
SNE,335.277945417,17.66
AMAT,291.01914906,20.99
AVGO,78.6126440577,81.70
EMC,207.219528368,27.89
ADP,78.479383466,75.78
ETN,0,62.73
PCLN,0,1130.82
VMW,63.0238860528,82.63
WIT,464.90004649,11.42
INTU,71.088362835,84.09
CERN,98.90609855,60.21
CTSH,-2.01498625957e-15,44.72
day,8,2014-10-27
value,108274.843698
TXN,132.149275822,47.64
ITW,69.3577472604,87.86
YHOO,150.353330326,43.31
MU,203.276822377,31.96
NXPI,97.1420800062,65.37
TWTR,0,50.02
ADBE,91.494656712,66.84
HPQ,174.978127734,34.95
NOK,0,8.29
BIDU,-2.17502469323e-17,220.51
LNKD,29.4427662068,202.31
INFY,89.1170284818,61.97
CRM,0,59.37
SNE,335.277945417,17.43
AMAT,291.01914906,20.88
AVGO,78.6126440577,81.51
EMC,207.219528368,28.18
ADP,78.479383466,76.25
ETN,0,62.74
PCLN,0,1138.00
VMW,63.0238860528,83.40
WIT,464.90004649,11.46
INTU,71.088362835,84.88
CERN,98.90609855,61.14
CTSH,0,45.04
day,9,2014-10-28
value,109424.04679
TXN,132.149275822,48.10
ITW,69.3577472604,88.96
YHOO,150.353330326,45.01
MU,203.276822377,32.51
NXPI,97.1420800062,65.42
TWTR,0,42.25
ADBE,91.494656712,67.45
HPQ,174.978127734,35.42
NOK,0,8.39
BIDU,-2.17502469323e-17,222.54
LNKD,29.4427662068,199.12
INFY,89.1170284818,62.20
CRM,0,59.97
SNE,335.277945417,17.59
AMAT,291.01914906,21.14
AVGO,78.6126440577,82.16
EMC,207.219528368,28.22
ADP,78.479383466,76.94
ETN,0,63.21
PCLN,0,1135.04
VMW,63.0238860528,84.09
WIT,464.90004649,11.68
INTU,71.088362835,85.46
CERN,98.90609855,62.61
CTSH,0,45.66
day,10,2014-10-29
value,110835.699951
TXN,139.965634563,48.13
ITW,73.5839933872,89.80
YHOO,0,45.94
MU,214.841474959,32.50
NXPI,102.889051199,67.29
TWTR,8.89862379748,43.85
ADBE,97.0686649469,68.21
HPQ,185.592663461,35.53
NOK,0,8.34
BIDU,0,227.37
LNKD,31.3309083092,202.99
INFY,95.1615116883,63.40
CRM,0,61.18
SNE,356.651842827,18.47
AMAT,308.803768523,21.05
AVGO,83.1886768649,84.57
EMC,220.542237633,28.51
ADP,83.365877558,77.09
ETN,0,66.22
PCLN,0,1156.46
VMW,67.4948915879,85.29
WIT,497.088989593,11.78
INTU,75.4876941648,86.02
CERN,104.910999611,63.33
CTSH,0,46.74
day,11,2014-10-30
value,110179.752229
TXN,139.965634563,48.14
ITW,73.5839933872,89.38
YHOO,0,45.21
MU,214.841474959,31.75
NXPI,102.889051199,66.45
TWTR,8.89862379748,41.56
ADBE,97.0686649469,67.23
HPQ,185.592663461,35.56
NOK,0,8.26
BIDU,1.84213504085e-16,222.30
LNKD,31.3309083092,198.46
INFY,95.1615116883,64.21
CRM,0,60.60
SNE,356.651842827,18.54
AMAT,308.803768523,21.36
AVGO,83.1886768649,83.84
EMC,220.542237633,28.28
ADP,83.365877558,77.89
ETN,0,65.51
PCLN,0,1142.92
VMW,67.4948915879,83.70
WIT,497.088989593,11.71
INTU,75.4876941648,85.68
CERN,104.910999611,62.26
CTSH,0,46.69
day,12,2014-10-31
value,113417.630698
TXN,139.965634563,49.15
ITW,73.5839933872,91.07
YHOO,4.31327476623e-17,46.16
MU,214.841474959,32.90
NXPI,102.889051199,67.80
TWTR,8.89862379748,42.69
ADBE,97.0686649469,69.89
HPQ,185.592663461,35.75
NOK,0,8.32
BIDU,0,240.14
LNKD,31.3309083092,224.24
INFY,95.1615116883,66.23
CRM,3.21787379837e-17,62.99
SNE,356.651842827,19.10
AMAT,308.803768523,21.71
AVGO,83.1886768649,85.11
EMC,220.542237633,28.71
ADP,83.365877558,80.61
ETN,0,67.85
PCLN,0,1175.58
VMW,67.4948915879,84.31
WIT,497.088989593,11.94
INTU,75.4876941648,88.61
CERN,104.910999611,63.89
CTSH,4.17655069996e-17,48.95
day,13,2014-11-03
value,114366.458395
TXN,146.78282101,49.65
ITW,0,90.96
YHOO,7.2587676319,46.05
MU,225.025812767,33.19
NXPI,107.831008631,68.43
TWTR,16.7474107239,40.55
ADBE,101.862837416,69.93
HPQ,194.96510301,36.03
NOK,0,8.38
BIDU,0,239.18
LNKD,32.8251319709,228.21
INFY,100.220619553,66.70
CRM,5.31933186043,63.92
SNE,374.194498004,19.64
AMAT,324.237426463,22.19
AVGO,87.1255199373,86.44
EMC,232.212899907,28.80
ADP,87.5224922943,81.50
ETN,0,68.37
PCLN,0,1211.69
VMW,71.4690905428,83.57
WIT,525.151360941,12.15
INTU,79.2690361565,88.24
CERN,110.155399578,63.32
CTSH,6.8450401203,48.98
day,14,2014-11-04
value,115023.392624
TXN,163.390358029,49.97
ITW,0,90.75
YHOO,25.1646137336,45.99
MU,249.869567301,33.48
NXPI,0,68.58
TWTR,37.0819165928,40.03
ADBE,0,69.95
HPQ,217.85059324,35.99
NOK,0,8.22
BIDU,3.44746305286,235.09
LNKD,36.4383137464,232.49
INFY,112.582901607,67.02
CRM,0,63.44
SNE,416.178419236,20.12
AMAT,361.39669699,22.14
AVGO,96.6646709436,85.90
EMC,260.843601747,29.02
ADP,97.6398446008,82.35
ETN,0,68.34
PCLN,0,1113.12
VMW,81.3358395314,83.82
WIT,593.016728264,12.35
INTU,88.6135988603,88.13
CERN,123.177576031,63.20
CTSH,23.6797525127,48.96
day,15,2014-11-05
value,115858.510729
TXN,187.833778478,50.48
ITW,0,91.37
YHOO,51.7233812879,47.62
MU,0,33.51
NXPI,0,70.50
TWTR,0,41.69
ADBE,0,71.53
HPQ,251.788846083,36.17
NOK,0,8.23
BIDU,8.64308056029,244.00
LNKD,0,235.96
INFY,130.807875045,67.70
CRM,0,63.97
SNE,476.886059386,20.25
AMAT,416.565519023,22.28
AVGO,110.883969195,85.79
EMC,302.933116558,29.02
ADP,112.472118066,83.78
ETN,0,68.76
PCLN,0,1103.00
VMW,95.9079908059,84.10
WIT,691.918567926,12.29
INTU,102.473098688,88.51
CERN,142.504122231,63.56
CTSH,48.6274183588,51.00
day,16,2014-11-06
value,116233.648063
TXN,0,51.05
ITW,0,92.00
YHOO,91.7089698244,47.37
MU,0,33.50
NXPI,27.0087053349,73.15
TWTR,0,40.19
ADBE,26.6197920608,71.59
HPQ,304.432299943,36.03
NOK,0,8.18
BIDU,16.4468253394,238.25
LNKD,0,221.84
INFY,158.933631708,67.48
CRM,29.7657296563,62.08
SNE,0,19.61
AMAT,502.028433122,22.58
AVGO,133.079023702,86.44
EMC,368.546959635,29.03
ADP,0,84.66
ETN,0,68.50
PCLN,0,1096.98
VMW,118.549057704,83.83
WIT,846.850522858,12.50
INTU,123.986077178,88.87
CERN,172.461858639,63.52
CTSH,85.9629816159,52.50
day,17,2014-11-07
value,116903.399513
TXN,0,51.10
ITW,0,92.98
YHOO,105.675656989,47.90
MU,0,33.31
NXPI,36.0531615342,73.51
TWTR,16.4618554611,40.74
ADBE,35.8613337703,72.35
HPQ,322.794830362,36.26
NOK,0,8.00
BIDU,19.2237486174,237.38
LNKD,0,224.65
INFY,168.738047402,67.62
CRM,40.4229779002,63.61
SNE,0,19.61
AMAT,531.328786132,22.65
AVGO,140.732910455,87.84
EMC,391.337244547,29.24
ADP,7.81481184718,84.87
ETN,0,68.89
PCLN,0,1094.35
VMW,126.441243926,83.50
WIT,0,12.51
INTU,131.43068133,89.30
CERN,182.877506797,63.94
CTSH,98.5649239203,52.62
day,18,2014-11-10
value,116222.545854
TXN,0,50.90
ITW,11.1779329743,92.73
YHOO,127.373448387,48.80
MU,0,32.93
NXPI,50.1917033374,73.92
TWTR,41.9730044045,40.34
ADBE,50.2265612472,71.63
HPQ,351.457935931,36.52
NOK,0,8.05
BIDU,23.6020627465,237.30
LNKD,4.62641534811,221.75
INFY,184.108118504,67.86
CRM,56.7619844707,64.05
SNE,0,20.45
AMAT,577.215064629,22.43
AVGO,152.564925573,84.92
EMC,0,29.10
ADP,20.0608847581,84.31
ETN,0,69.15
PCLN,0,1092.89
VMW,138.888240428,83.14
WIT,0,12.35
INTU,143.069250288,88.75
CERN,199.132186308,62.97
CTSH,0,53.46
day,19,2014-11-11
value,117204.693062
TXN,0,51.80
ITW,11.1779329743,93.07
YHOO,127.373448387,48.57
MU,0,32.98
NXPI,50.1917033374,73.83
TWTR,41.9730044045,39.31
ADBE,50.2265612472,71.81
HPQ,351.457935931,36.90
NOK,0,8.12
BIDU,23.6020627465,245.44
LNKD,4.62641534811,229.21
INFY,184.108118504,67.64
CRM,56.7619844707,64.45
SNE,0,20.50
AMAT,577.215064629,22.69
AVGO,152.564925573,85.84
EMC,0,29.25
ADP,20.0608847581,85.09
ETN,0,69.03
PCLN,0,1123.10
VMW,138.888240428,84.33
WIT,0,12.44
INTU,143.069250288,90.00
CERN,199.132186308,63.24
CTSH,0,53.00
day,20,2014-11-12
value,117054.323148
TXN,8.8472599593,51.32
ITW,16.1020553112,92.78
YHOO,136.809068438,49.33
MU,0,33.05
NXPI,0,73.43
TWTR,0,39.94
ADBE,56.6085145391,71.35
HPQ,363.877666714,36.66
NOK,0,8.06
BIDU,25.4692729237,248.58
LNKD,0,230.88
INFY,190.88351865,67.10
CRM,63.8727380144,63.79
