group,small
day,1,2014-10-16
value,100000.0
CALX,0,8.86
CIR,0,61.09
SPSC,0,54.79
GTN,0,7.86
JOBS,0,29.99
ITG,0,15.46
WIX,0,16.71
IRBT,0,32.42
BBOX,0,22.12
CHGG,0,6.33
TBI,0,24.94
HTGC,0,13.39
NSP,0,27.53
SIGM,0,3.77
IPGP,0,61.85
COUP,0,13.42
SSNI,0,8.67
TTMI,0,5.98
RENN,0,3.12
TISI,0,37.92
TWOU,0,16.66
VDSI,0,17.20
LRN,0,13.85
SYKE,0,19.60
SOHU,0,44.08
day,2,2014-10-17
value,103406.04144
CALX,0,9.00
CIR,0,64.25
SPSC,0,57.13
GTN,0,8.64
JOBS,0,30.03
ITG,0,16.65
WIX,0,17.95
IRBT,440.645104433,32.63
BBOX,0,22.70
CHGG,2256.82690138,6.46
TBI,0,26.03
HTGC,1066.89427078,14.40
NSP,0,28.36
SIGM,0,3.92
IPGP,0,66.80
COUP,0,14.42
SSNI,1647.71791069,9.21
TTMI,0,6.11
RENN,4578.75457875,3.20
TISI,0,39.06
TWOU,0,18.00
VDSI,830.564784053,17.50
LRN,0,14.84
SYKE,728.862973761,20.20
SOHU,0,45.27
day,3,2014-10-20
value,101934.657635
CALX,0,8.76
CIR,0,63.51
SPSC,0,55.28
GTN,0,8.57
JOBS,0,29.97
ITG,0,16.22
WIX,0,17.02
IRBT,440.645104433,31.69
BBOX,0,21.60
CHGG,2256.82690138,6.01
TBI,0,25.67
HTGC,1066.89427078,14.62
NSP,0,28.00
SIGM,0,3.75
IPGP,0,64.64
COUP,0,14.22
SSNI,1647.71791069,8.83
TTMI,0,5.95
RENN,4578.75457875,3.18
TISI,0,38.52
TWOU,0,17.78
VDSI,830.564784053,18.40
LRN,0,14.72
SYKE,728.862973761,19.78
SOHU,0,43.82
day,4,2014-10-21
value,103432.753283
CALX,0,8.95
CIR,0,64.90
SPSC,4.38382905362e-30,56.55
GTN,0,8.60
JOBS,0,29.97
ITG,0,16.36
WIX,0,17.30
IRBT,440.645104433,30.77
BBOX,0,22.68
CHGG,2256.82690138,6.15
TBI,0,26.29
HTGC,1066.89427078,14.68
NSP,0,28.19
SIGM,0,3.75
IPGP,0,65.93
COUP,1.70420583744e-29,14.60
SSNI,1647.71791069,9.05
TTMI,0,6.09
RENN,4578.75457875,3.38
TISI,0,38.78
TWOU,1.36298127156e-29,17.86
VDSI,830.564784053,18.16
LRN,0,15.08
SYKE,728.862973761,20.39
SOHU,0,43.78
day,5,2014-10-22
value,106516.715954
CALX,0,8.80
CIR,0,66.21
SPSC,4.38382905362e-30,56.12
GTN,0,8.80
JOBS,0,30.02
ITG,0,16.90
WIX,0,17.35
IRBT,440.645104433,34.50
BBOX,0,22.13
CHGG,2256.82690138,6.00
TBI,0,26.83
HTGC,1066.89427078,15.00
NSP,0,28.37
SIGM,0,3.94
IPGP,0,67.39
COUP,1.70420583744e-29,14.44
SSNI,1647.71791069,9.22
TTMI,0,6.00
RENN,4578.75457875,3.30
TISI,6.30712422407e-46,39.93
TWOU,1.36298127156e-29,17.97
VDSI,830.564784053,19.74
LRN,0,15.04
SYKE,728.862973761,20.68
SOHU,0,43.82
day,6,2014-10-23
value,106053.395287
CALX,0,8.65
CIR,0,65.11
SPSC,4.38382905362e-30,56.69
GTN,0,8.57
JOBS,0,30.50
ITG,3.62560744454e-61,17.06
WIX,0,16.83
IRBT,440.645104433,35.63
BBOX,0,22.32
CHGG,2256.82690138,5.96
TBI,2.28374080555e-61,25.99
HTGC,1066.89427078,15.30
NSP,0,29.18
SIGM,0,3.89
IPGP,0,66.35
COUP,1.70420583744e-29,13.51
SSNI,1647.71791069,9.02
TTMI,0,5.90
RENN,4578.75457875,3.26
TISI,6.30712422407e-46,39.64
TWOU,1.36298127156e-29,18.05
VDSI,830.564784053,19.09
LRN,0,14.98
SYKE,728.862973761,20.49
SOHU,0,43.39
day,7,2014-10-24
value,106261.570469
CALX,0,8.82
CIR,0,66.14
SPSC,4.38382905362e-30,56.06
GTN,0,8.67
JOBS,0,30.06
ITG,3.62560744454e-61,17.42
WIX,0,16.44
IRBT,440.645104433,35.41
BBOX,0,22.84
CHGG,2256.82690138,5.84
TBI,2.28374080555e-61,23.85
HTGC,1066.89427078,15.16
NSP,0,29.47
SIGM,0,3.94
IPGP,0,66.82
COUP,1.70420583744e-29,13.57
SSNI,1647.71791069,9.06
TTMI,0,5.99
RENN,4578.75457875,3.35
TISI,6.30712422407e-46,40.15
TWOU,1.36298127156e-29,18.00
VDSI,830.564784053,19.30
LRN,0,14.89
SYKE,728.862973761,20.59
SOHU,0,43.66
day,8,2014-10-27
value,106283.983107
CALX,0,8.75
CIR,0,65.20
SPSC,0,55.40
GTN,0,8.57
JOBS,0,30.06
ITG,1.28252508478e-30,17.67
WIX,0,16.30
IRBT,440.645104433,34.06
BBOX,0,22.33
CHGG,2256.82690138,6.14
TBI,0,23.93
HTGC,1066.89427078,15.35
NSP,0,29.39
SIGM,0,3.92
IPGP,0,66.74
COUP,1.86884538775e-29,13.12
SSNI,1647.71791069,8.97
TTMI,0,5.94
RENN,4578.75457875,3.38
TISI,5.56452975763e-31,39.83
TWOU,1.48710119921e-29,17.74
VDSI,830.564784053,19.12
LRN,0,14.93
SYKE,728.862973761,20.45
SOHU,0,43.64
day,9,2014-10-28
value,107917.82858
CALX,0,8.62
CIR,0,66.09
SPSC,0,56.25
GTN,0,8.63
JOBS,0,30.24
ITG,1.28252508478e-30,17.75
WIX,0,16.54
IRBT,440.645104433,33.94
BBOX,0,23.35
CHGG,2256.82690138,6.11
TBI,0,24.26
HTGC,1066.89427078,15.42
NSP,0,29.32
SIGM,0,3.87
IPGP,0,68.20
COUP,1.86884538775e-29,13.38
SSNI,1647.71791069,8.98
TTMI,0,5.74
RENN,4578.75457875,3.35
TISI,5.56452975763e-31,40.12
TWOU,1.48710119921e-29,17.84
VDSI,830.564784053,21.13
LRN,0,14.91
SYKE,728.862973761,20.63
SOHU,0,43.38
day,10,2014-10-29
value,112183.008162
CALX,0,8.78
CIR,0,68.73
SPSC,0,56.53
GTN,0,8.87
JOBS,0,30.33
ITG,1.28252508478e-30,18.10
WIX,0,16.56
IRBT,440.645104433,34.39
BBOX,0,22.94
CHGG,2256.82690138,6.27
TBI,0,24.69
HTGC,1066.89427078,15.58
NSP,0,30.50
SIGM,0,3.99
IPGP,0,70.10
COUP,1.86884538775e-29,13.66
SSNI,1647.71791069,9.40
TTMI,0,5.93
RENN,4578.75457875,3.34
TISI,5.56452975763e-31,41.34
TWOU,1.48710119921e-29,17.89
VDSI,830.564784053,23.95
LRN,0,15.29
SYKE,728.862973761,21.38
SOHU,0,44.40
day,11,2014-10-30
value,112595.531532
CALX,0,9.46
CIR,0,68.47
SPSC,0,55.68
GTN,0,8.77
JOBS,0,30.47
ITG,1.28252508478e-30,18.17
WIX,0,16.73
IRBT,440.645104433,34.50
BBOX,0,21.27
CHGG,2256.82690138,6.09
TBI,0,24.54
HTGC,1066.89427078,15.64
NSP,0,30.00
SIGM,0,3.91
IPGP,2.62822057787e-78,69.94
COUP,1.86884538775e-29,13.17
SSNI,1647.71791069,9.27
TTMI,0,5.76
RENN,4578.75457875,3.45
TISI,5.56452975763e-31,41.03
TWOU,1.48710119921e-29,17.92
VDSI,830.564784053,24.68
LRN,0,15.13
SYKE,728.862973761,21.12
SOHU,0,43.51
day,12,2014-10-31
value,114642.024585
CALX,0,10.88
CIR,0,71.56
SPSC,0,57.94
GTN,0,9.38
JOBS,0,31.00
ITG,77.0179917238,18.31
WIX,0,16.96
IRBT,481.207913407,35.71
BBOX,0,22.71
CHGG,2486.6162133,6.44
TBI,0,25.05
HTGC,1156.37105528,15.65
NSP,0,31.51
SIGM,0,4.03
IPGP,20.0088205551,72.56
COUP,106.257927838,13.60
SSNI,1798.67982112,9.62
TTMI,0,6.78
RENN,4984.3826685,3.39
TISI,34.1071632859,42.04
TWOU,78.0924614744,18.06
VDSI,887.267252028,24.79
LRN,0,13.10
SYKE,0,21.82
SOHU,0,46.50
day,13,2014-11-03
value,116123.353179
CALX,-3.13474736365e-14,10.81
CIR,0,75.25
SPSC,0,58.21
GTN,0,9.28
JOBS,0,30.58
ITG,77.0179917238,18.44
WIX,0,17.00
IRBT,481.207913407,35.75
BBOX,0,22.12
CHGG,2486.6162133,6.69
TBI,0,24.69
HTGC,1156.37105528,15.80
NSP,0,32.01
SIGM,0,3.98
IPGP,20.0088205551,73.40
COUP,106.257927838,13.77
SSNI,1798.67982112,9.57
TTMI,0,6.95
RENN,4984.3826685,3.44
TISI,34.1071632859,42.09
TWOU,78.0924614744,18.17
VDSI,887.267252028,25.30
LRN,0,12.40
SYKE,0,21.57
SOHU,0,46.78
day,14,2014-11-04
value,113288.615228
CALX,186.007408286,10.83
CIR,26.7207984528,74.12
SPSC,0,59.94
GTN,0,9.23
JOBS,0,31.12
ITG,186.060295605,18.35
WIX,0,17.01
IRBT,0,36.28
BBOX,0,22.30
CHGG,2787.17526914,6.35
TBI,0,24.48
HTGC,1283.63308589,15.76
NSP,0,31.36
SIGM,0,4.02
IPGP,0,74.22
COUP,252.281172832,13.10
SSNI,2008.78850279,9.27
TTMI,0,7.00
RENN,5568.90013466,3.26
TISI,0,41.24
TWOU,188.755096784,17.56
VDSI,966.74314466,25.40
LRN,0,12.26
SYKE,0,22.81
SOHU,0,50.02
day,15,2014-11-05
value,115773.474374
CALX,217.532860035,11.04
CIR,31.3271212056,73.00
SPSC,5.69604008068,60.93
GTN,0,9.24
JOBS,0,31.96
ITG,0,19.52
WIX,0,17.56
IRBT,0,35.30
BBOX,0,22.99
CHGG,2840.94229945,6.34
TBI,0,24.75
HTGC,1305.29683223,15.88
NSP,0,32.98
SIGM,0,4.23
IPGP,0,74.03
COUP,278.343817293,14.93
SSNI,2045.61920855,9.29
TTMI,0,7.03
RENN,5673.63039307,3.27
TISI,0,42.45
TWOU,208.198185761,18.40
VDSI,980.184902236,26.99
LRN,0,12.29
SYKE,0,23.57
SOHU,0,49.71
day,16,2014-11-06
value,115341.345625
CALX,217.532860035,11.01
CIR,31.3271212056,72.34
SPSC,5.69604008068,60.34
GTN,0,9.46
JOBS,0,32.29
ITG,0,19.51
WIX,0,17.62
IRBT,0,34.49
BBOX,0,23.30
CHGG,2840.94229945,6.60
TBI,0,24.45
HTGC,1305.29683223,15.90
NSP,-1.25350722445e-15,32.99
SIGM,0,4.21
IPGP,0,73.41
COUP,278.343817293,16.11
SSNI,2045.61920855,9.20
TTMI,0,6.93
RENN,5673.63039307,3.18
TISI,0,42.44
TWOU,208.198185761,17.90
VDSI,980.184902236,26.28
LRN,0,11.62
SYKE,0,24.04
SOHU,0,49.64
day,17,2014-11-07
value,112145.078861
CALX,238.11600216,11.41
CIR,0,73.00
SPSC,9.45176422389,60.97
GTN,0,9.87
JOBS,0,33.00
ITG,0,19.47
WIX,0,17.10
IRBT,0,34.70
BBOX,0,22.83
CHGG,2875.2787229,6.75
TBI,0,24.56
HTGC,1319.54968725,15.80
NSP,6.86936631711,33.41
SIGM,0,4.11
IPGP,0,73.74
COUP,292.410880906,15.20
SSNI,2070.25186016,7.59
TTMI,0,6.91
RENN,5744.89466817,3.13
TISI,0,42.34
TWOU,220.858543012,17.90
VDSI,988.80820493,26.57
LRN,0,12.17
SYKE,0,23.99
SOHU,0,48.95
day,18,2014-11-10
value,113592.946618
CALX,0,11.35
CIR,0,73.98
SPSC,0,62.35
GTN,0,9.75
JOBS,0,34.41
ITG,0,19.79
WIX,0,16.90
IRBT,0,35.00
BBOX,0,23.72
CHGG,2936.26349419,6.71
TBI,0,25.00
HTGC,1345.6033079,16.16
NSP,19.1904440236,33.92
SIGM,0,4.10
IPGP,0,72.55
COUP,319.492933943,15.50
SSNI,2124.48732869,7.78
TTMI,0,6.91
RENN,5876.41134745,3.15
TISI,0,42.86
TWOU,243.855593637,17.95
VDSI,1004.30113704,27.01
LRN,0,12.70
SYKE,0,24.08
SOHU,0,50.60
day,19,2014-11-11
value,115601.079148
CALX,0,11.42
CIR,0,74.32
SPSC,0,62.95
GTN,0,9.37
JOBS,0,34.51
ITG,4.11154535927,19.75
WIX,0,17.41
IRBT,0,34.32
BBOX,0,23.18
CHGG,2948.38979563,6.92
TBI,0,24.97
HTGC,1350.6384244,16.14
NSP,0,33.72
SIGM,0,4.21
IPGP,0,73.50
COUP,324.742448954,16.25
SSNI,2134.94587402,7.57
TTMI,0,6.80
RENN,5902.24229433,3.23
TISI,0,43.00
TWOU,248.388601027,17.83
VDSI,1007.31363177,28.18
LRN,0,12.59
SYKE,0,24.54
SOHU,0,51.26
day,20,2014-11-12
value,114393.548242
CALX,0,11.21
CIR,7.88940437074,73.65
SPSC,9.31438495366,63.61
GTN,0,9.37
JOBS,0,34.49
ITG,33.799673604,19.69
WIX,0,17.69
IRBT,0,34.25
BBOX,0,23.20
CHGG,3033.1210865,6.96
TBI,0,24.75
HTGC,1386.96683411,16.07
NSP,0,33.57
SIGM,0,4.08
IPGP,0,72.53
COUP,0,16.11
SSNI,2212.40169078,7.63
TTMI,0,6.81
RENN,6083.77187106,3.18
TISI,0,43.02
TWOU,281.27365615,17.61
VDSI,1028.12060597,27.21
LRN,0,12.88
SYKE,0,24.25
SOHU,0,50.69
day,21,2014-11-13
value,114087.402583
CALX,0,11.09
CIR,7.88940437074,75.19
SPSC,9.31438495366,63.00
GTN,0,9.78
JOBS,0,35.60
ITG,33.799673604,19.59
WIX,0,19.00
IRBT,0,34.46
BBOX,0,23.92
CHGG,3033.1210865,6.96
TBI,0,25.20
HTGC,1386.96683411,15.66
NSP,0,33.60
SIGM,0,4.17
IPGP,0,72.79
COUP,0,16.18
SSNI,2212.40169078,7.90
TTMI,0,6.93
RENN,6083.77187106,3.22
TISI,0,44.13
TWOU,281.27365615,17.70
VDSI,1028.12060597,26.62
LRN,0,12.85
SYKE,0,24.32
