-large,100B,-1
MA,Mastercard Incorporated
V,Visa Inc.
AAPL,APPLE
GOOG,GOOGLE
MSFT,MICROSOFT
FB,FACEBOOK
ORCL,ORACLE
AMZN,AMAZON
IBM,IBM
INTC,INTEL
CSCO,CISCO
QCOM,QUALCOMM
GE,General_Electric
T,AT&T
UTX,United_Technologies_Corporation
VZ,Verizon_Communications
TSM,Taiwan_Semiconductor_Manufacturing_Company
QCOM,QUALCOMM_Incorporated
CMCSA,Comcast_Corporation
COP,ConocoPhillips
SAP,SAP_SE
BA,Boeing_Company
CHL,China_Mobile
EBAY,eBay
DCM,NTT_DOCOMO
-medium,25B,65B
TXN,TEXAS_INSTRUMENTS
PCLN,PRICELINE
HPQ,HP
EMC,EMC
CRM,SALESFORCE.COM
YHOO,YAHOO
VMW,VMWARE
TWTR,TWITTER	
SNE,SONY
BIDU,Baidu Inc.
ADBE,Adobe Systems Incorporated	
LNKD,LinkedIn Corporation
AVGO,Avago Technologies Limited
INFY,Infosys Limited
ADP,Automatic Data Processing, Inc.
CTSH,Cognizant Technology Solutions Corporation
ITW,Illinois Tool Works Inc.
WIT,Wipro Limited
ETN,Eaton Corporation PLC
MU,Micron Technology Inc.
NOK,Nokia Corporation
AMAT,Applied Materials Inc.
INTU,Intuit Inc.
CERN,Cerner Corporation
NXPI,NXP Semiconductors N.V.
-small,-1,2B
SOHU,Sohu.com
BBOX,BLACKBOX
CIR,CIRCOR_INTERNATIONAL
ITG,INVESTMENT_TECHNOLOGY_GROUP
COUP,COUPONS.COM
HTGC,HERCULES_GROWTH_CAPITAL
GTN,GRAY_TELEVISION
CHGG,CHEGG
SSNI,SILVER_SPRING_NETWORKS
CALX,CALIX
LRN,K12
IRBT,iRobot Corp
IPGP,IPG Photonics
TISI,TEAM
NSP,Insperity
RENN,Renren
JOBS,51job
WIX,Wix.com
SIGM,Sigma Designs Inc.
TTMI,TTM_Technologies
VDSI,VASCO_Data_Security_International
SPSC,SPS_Commerce
SYKE,Sykes_Enterprises
TWOU,2U
TBI,TrueBlue
